MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}#tau_{2}},#Delta #eta_{b_{1}#tau_{2}},#Delta #phi_{b_{1}#tau_{2}},#Delta pT_{b_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{2}}(GeV),#Delta #vec{p}_{b_{1}#tau_{2}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}#tau_{2}},#Delta #eta_{b_{2}#tau_{2}},#Delta #phi_{b_{2}#tau_{2}},#Delta pT_{b_{2}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{2}}(GeV),#Delta #vec{p}_{b_{2}#tau_{2}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}#tau_{2}},#Delta #eta_{#tau_{1}#tau_{2}},#Delta #phi_{#tau_{1}#tau_{2}},#Delta pT_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{p}_{#tau_{1}#tau_{2}}(GeV),pT_{#tau_{2}}(GeV),#eta_{#tau_{2}},#phi_{#tau_{2}},Energy_{#tau_{2}}(GeV),Mass_{#tau_{2}}(GeV),Q_{#tau_{1}}Q_{#tau_{2}},sT(GeV)
263.261322,2.552418709,1,136.8897247,0.805665851,3.044446945,184.1553815,11.86346912,2.680208609,-1.344151378,2.318787456,102.91259,161.9269117,163.3122674,0.905623611,-0.276069999,0.862519264,110.0014668,121.1319838,149.4366734,1.517997828,-1.351646781,-0.690918509,114.2194176,120.2892571,123.0455052,33.9771347,2.149817228,0.72565949,147.8726334,4.727277279,1.805966466,1.068081379,-1.456268191,7.088876724,40.84872921,116.1582274,3.009715298,-0.007495403,-3.009705965,11.30682755,56.52923041,73.59525337,26.88825798,1.081735849,2.181927681,44.53043122,5.290187359,1.889453447,-1.075576782,-1.553437773,4.217950821,34.86774973,70.79611494,22.67030716,2.157312632,-2.547819853,99.44843442,4.735170364,-1,483.6867466
19.75679207,-1.259369612,6,168.7765656,1.73959744,1.477985859,495.6134615,14.08249283,1.705395376,1.232445657,-1.1787498,110.8787956,156.1104196,462.295422,3.392255205,1.602326319,-2.989974205,55.63121033,281.1437735,530.7724655,2.872567115,1.990485698,2.071137011,108.9729004,204.318782,522.5409953,57.89776993,0.507151783,2.656735659,66.93223137,13.75092125,1.84860638,0.369880661,-1.811224405,-55.2475853,138.8300606,139.6442449,3.126583514,0.758040041,-3.033298496,-1.905895233,117.5289777,126.1375852,113.1453552,0.137271121,-1.815225244,114.6120051,9.554633141,1.282237415,0.388159379,-1.222074091,53.34169006,108.4165873,112.6909429,59.80366516,-0.250888258,-0.593151152,64.51585129,18.86616898,-1,419.3801479
49.93970108,-1.119480252,1,47.26700974,-0.333885193,-2.945063829,51.24320123,11.54287052,2.533371252,-0.692440569,2.436902944,3.807365417,85.16309692,90.97502636,1.541374257,-0.566713706,-1.433412075,-25.55817795,81.20858688,87.72767833,1.751947665,-1.146968424,1.324305121,11.60213852,51.80238799,70.87932684,43.45964432,0.358555377,0.901218534,47.33626981,9.928530693,2.416143678,0.125726864,2.412870288,-29.36554337,109.1536875,109.1601812,1.201860843,-0.454527855,-1.112597823,7.794773102,42.302557,45.36390941,72.82518768,0.232828513,-1.511651754,74.81776696,1.207933784,2.81810214,-0.580254719,2.757717196,37.16031647,106.7334563,107.8091603,35.66487122,0.813083231,2.013816357,48.42309481,5.427702427,1,249.156414
341.3824768,2.63629365,1,212.5151215,-1.897537112,-0.198627308,724.9032312,20.57176399,2.744508982,-2.197862238,-1.643694356,137.7800064,230.350921,751.6955791,3.792345533,-2.489422798,-2.860884264,97.07450867,325.0146183,831.3037781,3.644195263,-2.222252846,2.88820903,180.3905945,243.7469699,744.4004193,74.73511505,0.300325125,1.445067048,78.4709093,7.297016621,1.25162248,-0.29156056,-1.217189908,-40.70549774,113.7399489,124.0859399,1.75145176,-0.024390608,-1.751281921,42.61058807,86.48269053,87.33452552,115.4406128,0.591885686,2.662256956,136.5760188,9.300748825,0.597188464,0.267169952,-0.534092013,83.31608582,89.30016729,108.5831553,32.12452698,0.324715734,-3.086836338,33.89045838,1.971421361,-1,776.1978531
29.87217331,-1.723659873,2,98.63568878,0.266047925,1.380185723,102.5781056,9.39329052,1.886441583,1.461665004,-1.192559123,67.02297211,91.79003313,117.9169488,1.633552468,-0.136027753,-1.627879024,51.43075943,111.7523166,111.9749139,1.443039741,-0.285905093,1.414433446,63.12112045,99.49503809,99.67216561,31.61271667,-1.19561708,2.572744846,58.20038172,11.60744858,1.655936461,-1.597692758,-0.435319901,-15.59221268,22.83573499,70.74990137,3.138536522,-1.747570097,2.606992569,-3.901851654,64.75163237,93.9561488,47.20492935,0.402075678,3.008064747,51.34233983,5.258887291,3.046002032,-0.14987734,3.042312469,11.69036102,82.61963882,82.62719549,35.51456833,0.551953018,-0.034247722,42.26344778,10.00101185,-1,242.8400764
11.93301964,-1.321254373,1,95.61358643,1.980379701,-1.918800831,353.0622912,7.531326771,2.694616372,2.278561771,-1.438441396,61.35029221,97.21760013,363.3997759,3.403703109,2.2857669,-2.52199614,30.43107605,153.4221726,391.3312063,1.518828478,1.416932344,0.546939373,70.20655251,75.08474462,333.2689244,34.26329422,-0.29818207,-0.480359435,36.10851324,4.726514339,1.0835787,0.007205129,-1.083554745,-30.91921616,57.71872442,58.55283057,2.164287889,-0.861629426,1.985380769,8.8562603,50.20762234,56.29125451,65.18251038,-0.305387199,0.60319531,68.94111086,9.767280579,3.189551484,-0.868834555,3.068935513,39.77547646,90.54129864,97.17997968,25.40703392,0.563447356,-2.465740204,29.84565002,4.205355644,-1,232.3994446
25.68918419,-0.782542467,1,80.98001099,-0.503299057,-2.986609459,91.62378331,5.560893059,3.267449457,-1.433621764,-2.936146215,35.5234642,125.8228013,155.3747021,2.868754277,-2.737673819,0.857259099,10.5149231,63.66673127,373.2917355,1.919842024,0.467889726,-1.861953974,42.20259857,99.31921885,99.32861466,45.45654678,0.930322707,-0.050463244,66.95828353,7.029784203,2.810614911,-1.304052055,-2.489779994,-25.00854111,110.1111331,297.7703636,2.183949385,1.90151149,1.074192241,6.679134369,43.47811873,102.2311749,70.46508789,2.234374762,2.43931675,333.0921309,12.258955,4.203541052,3.205563545,-2.719213072,31.68767548,107.0217092,384.3875715,38.77741241,-0.971188784,-1.124655485,58.94153731,6.796595573,-1,261.3682423
138.2403259,2.584249496,1,98.78681946,-0.657992005,1.091756821,121.1328022,6.567213058,0.807702294,0.25513339,0.766348451,28.36261749,68.51362746,68.62051846,1.252815726,-0.951088518,-0.815461755,-19.03474426,87.65065701,136.6404731,2.422457152,0.980225563,-2.215277974,70.07880402,118.281874,118.2888243,70.42420197,-0.913125396,0.325408369,103.1095786,15.86620998,1.989244786,-1.206221908,-1.581810206,-47.39736176,137.9284615,175.5834885,3.068526486,0.725092173,-2.981626425,41.71618652,98.87149276,98.90427676,117.8215637,0.293096513,1.907218575,123.646536,13.39659405,2.385258797,1.931314081,-1.399816219,89.11354828,116.4261322,157.5230038,28.70801544,-1.638217568,-2.976150513,77.18705714,9.047898293,-1,453.9809265
33.3985405,-1.74603498,1,152.5901642,1.13117516,0.210991248,261.4911157,14.69314957,3.816689286,3.378427148,-1.775766626,118.732811,162.8900113,404.4783097,3.168034843,2.178386688,2.300233945,48.97380066,234.7219404,414.2233858,3.252354022,2.963757515,1.339383468,65.00238037,157.5587447,503.8195367,33.85735321,-2.247251987,1.986757874,162.16699,8.126885414,2.512321947,-1.20004046,-2.207184736,-69.75901031,126.6982708,129.9586951,3.142628042,-0.414669633,3.115150094,-53.7304306,121.4366005,162.7271041,103.6163635,-1.047211528,-2.089242697,166.8214099,18.27206802,1.240983874,0.785370827,-0.960850477,16.02857971,89.5021081,163.8523831,87.58778381,-1.832582355,-1.12839222,281.0406988,13.44134808,-1,411.0502052
75.48757172,-0.979222059,0,58.79136658,-1.230861306,3.106439829,109.726149,10.30919647,3.275928367,-3.189637065,0.746941805,14.37356949,39.9631873,249.6340383,2.458883627,-0.900454372,2.288075745,-16.95607758,122.6732701,139.5794409,1.474049116,-1.420817658,-0.392553155,15.19963074,24.91803274,103.4476287,44.41779709,1.958775759,2.359498024,160.8682002,9.155218124,2.759610701,2.289182693,1.54113394,-31.32964706,86.66628532,199.6230066,2.104084327,1.768819407,-1.13949496,0.826061249,47.47914787,153.5382647,75.74744415,-0.330406934,0.818364084,81.22241794,14.48803616,2.730668279,-0.520363286,-2.6806289,32.15570831,116.4154203,121.2272888,43.59173584,0.189956352,-2.784192324,44.73139522,5.591284752,-1,298.0359154
