MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}lep_{1}},#Delta #eta_{b_{1}lep_{1}},#Delta #phi_{b_{1}lep_{1}},#Delta pT_{b_{1}lep_{1}}(GeV),#Delta #vec{pT}_{b_{1}lep_{1}}(GeV),#Delta #vec{p}_{b_{1}lep_{1}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}lep_{1}},#Delta #eta_{b_{2}lep_{1}},#Delta #phi_{b_{2}lep_{1}},#Delta pT_{b_{2}lep_{1}}(GeV),#Delta #vec{pT}_{b_{2}lep_{1}}(GeV),#Delta #vec{p}_{b_{2}lep_{1}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}lep_{1}},#Delta #eta_{#tau_{1}lep_{1}},#Delta #phi_{#tau_{1}lep_{1}},#Delta pT_{#tau_{1}lep_{1}}(GeV),#Delta #vec{pT}_{#tau_{1}lep_{1}}(GeV),#Delta #vec{p}_{#tau_{1}lep_{1}}(GeV),pT_{lep_{1}}(GeV),#eta_{lep_{1}},#phi_{lep_{1}},Energy_{lep_{1}}(GeV),Mass_{lep_{1}}(GeV),Q_{#tau_{1}}Q_{lep_{1}},sT(GeV)
74.47407532,0.685665607,1,61.75700378,0.277208626,1.547393441,65.20126591,11.68816471,3.063149644,-1.690121353,-2.554677192,24.80114365,94.76477344,146.8817729,1.607978555,0.290932737,1.581440222,2.272449493,86.20058471,88.09190563,2.421754918,-0.422422171,-2.384629194,-26.18228912,139.4378313,147.9062144,36.95586014,1.967329979,-2.181114674,134.993783,8.439458847,2.921382523,1.98105409,-2.147067893,-22.52869415,85.43924504,155.8795727,1.279053376,1.267699182,0.170047998,-50.98343277,51.89468698,81.53935575,59.48455429,-0.013724111,-0.03404678,59.53930474,2.418698788,2.424438343,-0.713354908,2.317115892,-28.45473862,135.5538811,151.4234962,87.93929291,0.699630797,-2.351162672,110.3541037,0.105658376,-1,320.6107864
11.8908453,-0.262575835,0,156.4174347,-0.27096349,-0.855912447,163.1711801,17.82330513,3.269152693,1.945096672,-2.627538443,38.62955475,265.3794102,557.9507756,0.740693863,0.29898721,0.677668095,122.4566536,131.6934693,133.598841,3.032150829,1.351041496,2.714521233,68.74350739,238.9919082,293.5158194,117.7878799,-2.216060162,1.771625996,546.7190602,13.77637577,3.402651013,-1.646109462,-2.97797877,83.82709885,151.3962096,535.1432094,1.112932615,-0.594055176,-0.941125631,30.11395264,96.94374611,334.7482254,33.9607811,-0.5699507,-1.533580542,40.82469389,9.813303947,2.292507127,1.052054286,2.036853139,-53.71314621,107.3126794,220.7211678,87.67392731,-1.622004986,2.712751627,230.6146367,0.105658375,-1,407.7308683
165.1049194,-1.158328056,0,159.5067139,-0.593013465,1.995696187,188.558154,8.083965302,1.959505009,-1.894787014,-0.499441743,57.02437592,85.11907383,287.5324671,3.473735164,-2.648749292,-2.247434799,118.9581299,187.5806527,317.3934494,1.756751509,-1.642630875,0.622848034,131.3557644,137.6252077,193.1428766,102.482338,1.301773548,2.49513793,202.6607197,12.2043457,1.903664582,-0.753962278,-1.747993056,61.93375397,116.6696596,118.1450781,1.150268256,0.252156138,1.122289777,74.33138847,93.77173417,167.7827517,40.54858398,2.055735826,-2.040054321,160.9934339,1.096479297,3.041512421,1.006118417,2.870282833,12.39763451,68.08903535,138.4235497,28.15094948,1.04961741,1.372848153,45.13495866,0.105658376,-1,495.7935047
48.05328751,2.920459986,1,102.46315,-1.674625754,-0.735863626,283.4242887,15.27766514,2.173757916,-0.161347508,2.167761624,56.08378983,134.1360224,211.5601352,2.098954475,-0.631682873,-2.001645982,36.57292175,143.106611,231.4768705,1.510746742,-1.458585173,-0.39355433,75.99113464,78.67254348,269.7754193,46.3793602,-1.513278246,-2.90362525,110.5587593,5.453055382,2.165472587,-0.470335364,2.113777701,-19.51086807,98.23709371,99.93418191,2.871091251,-1.297237664,-2.561315954,19.90734482,70.0384384,117.5835522,65.89022827,-1.042942882,1.265782356,106.1024,14.59371853,1.808238418,-0.8269023,1.608091652,39.41821289,71.9191501,104.7140475,26.47201538,-0.216040581,-0.342309296,27.09239919,0.105658375,-1,289.2580414
304.5123291,-1.262281895,1,130.4746399,-0.582441151,-2.022835732,153.7342093,12.33750916,2.046376281,-0.227108777,2.033734862,55.19559479,177.3786206,185.1413155,0.708089353,0.170145452,-0.687343478,92.36650848,103.8728996,114.8073007,2.62328414,0.990143836,-2.42924574,103.5232468,151.8971829,152.9859804,75.2790451,-0.355332375,2.226614714,80.31128789,6.068736076,2.749923318,0.397254229,-2.72107834,37.1709137,111.1611296,111.2385368,2.189714385,1.217252612,1.820204705,48.32765198,85.99354342,92.77893029,38.10813141,-0.752586603,-1.335492253,49.75119056,5.73806572,1.925258642,0.819998384,-1.741902262,11.15673828,50.28289315,58.90336837,26.95139313,-1.572584987,0.406410009,67.73698468,0.105658375,-1,575.3255386
64.44407654,-2.909394264,1,45.24628448,-1.649568319,1.107421637,122.4474062,9.295666695,2.283878457,-0.646517515,2.190460205,3.989517212,76.92581007,100.5307306,1.914672193,-1.845378146,-0.510440111,-7.197795868,25.62727788,126.3615797,4.511669166,-3.593018532,2.728621721,18.84577942,70.23119761,215.4531125,41.25676727,-1.003050804,-1.083038568,64.14006564,6.491404057,2.955017653,-1.19886063,-2.700900316,-11.18731308,91.4680231,108.8534915,2.995243906,-2.946501017,0.538161516,14.85626221,22.99173461,140.852964,52.44408035,0.195809826,1.617861748,53.46264277,1.031613231,3.510118894,-1.747640386,-3.044123475,26.04357529,78.76119285,112.2285781,26.40050507,1.943450212,-1.621200085,94.06519883,0.105658376,-1,229.7917137
90.00105286,-0.56198144,0,122.1425095,0.316002846,-2.343153238,129.2168119,15.43311787,0.625456583,-0.624431372,0.035796642,78.39291,78.43656676,78.86811779,1.607948797,0.931535602,1.310626094,78.27053833,118.6868945,136.7793898,2.926536007,0.351135027,2.905394499,-27.81482697,270.2243828,273.8659695,43.74959946,0.940434217,-2.378949881,65.19890381,9.072471619,2.011522645,1.555966973,1.274829451,-0.122371674,52.1454252,92.35447634,3.03089453,0.975566398,2.869597856,-106.207737,192.4577955,199.5563485,43.87197113,-0.615532756,2.629405975,52.7601799,5.723296165,1.69710079,-0.580400575,1.594768405,-106.0853653,157.2493032,158.9915993,149.9573364,-0.035132181,1.03463757,150.0498899,0.000511002,-1,449.7224693
67.34386444,1.857534885,2,71.92763519,-1.68745482,-0.359306961,201.1815187,6.912885666,1.885435274,-1.779463761,-0.623197317,11.48771667,42.02866554,197.841441,2.776034169,-1.571487002,2.288404316,15.0935936,117.3883396,215.8605027,2.95656586,-2.656991124,-1.296795994,-25.68252563,104.4119213,315.6986161,60.43991852,0.092008941,0.263890356,61.85852447,11.93654346,2.91902011,0.207976758,2.911601633,3.605876923,116.5001354,117.1345448,1.106250176,-0.877527364,-0.673598677,-37.17024231,62.91871244,122.0710608,56.8340416,-0.115967818,-2.647711277,58.13604248,10.29834175,2.908168194,-1.085504122,2.697984997,-40.77611923,150.9274711,190.8323488,97.61016083,0.969536304,0.937489033,147.1951658,0.000510999,1,354.1556206
41.49031448,-0.290779978,2,274.1277466,-0.426606476,-1.987385154,300.4612168,24.59308624,3.125723193,-0.23718977,3.116710846,188.3414993,359.8937685,374.6685125,2.403688662,-1.057092488,2.158766929,137.8585205,367.6345752,424.5040986,1.832445508,0.881513417,-1.606483936,232.1075363,278.8076567,282.9917243,85.78624725,-0.189416707,1.179089308,89.18504184,18.09633064,1.260911184,-0.819902718,-0.957943916,-50.48297882,111.7152827,155.4322364,1.9196529,1.118703187,1.559990525,43.76603699,95.11611454,110.2223033,136.2692261,0.630486012,2.137033224,164.6443354,11.20273018,3.177764419,1.938605905,2.517934442,94.24901581,172.1372473,237.5914061,42.02021027,-1.308119893,-0.380901217,83.40052133,0.105658376,1,579.6937447
9.836025238,-0.717355132,0,61.64406204,-0.222688466,-3.137158632,63.50452145,6.423093319,2.460524221,-2.26577881,-0.959388256,16.43237686,51.42428489,192.3048281,3.075189974,-0.881321639,-2.946195096,-0.01607132,122.7161909,135.4995312,2.379860884,-1.205568701,2.051911775,18.87026215,89.83316543,109.7145175,45.21168518,2.043090343,-2.177770376,177.4977642,7.916517735,2.421595151,1.384457171,-1.98680684,-16.44844818,89.99564213,156.3472342,3.192487017,1.060210109,3.011300031,2.437885284,87.7989875,150.5645777,61.66013336,0.658633173,-0.190963537,75.56674332,2.521675825,1.325353819,-0.324247062,-1.285078436,18.88633347,64.38063021,64.61797047,42.7737999,0.982880235,1.0941149,65.15247956,0.000511,-1,221.1257057
