MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}lep_{1}},#Delta #eta_{b_{1}lep_{1}},#Delta #phi_{b_{1}lep_{1}},#Delta pT_{b_{1}lep_{1}}(GeV),#Delta #vec{pT}_{b_{1}lep_{1}}(GeV),#Delta #vec{p}_{b_{1}lep_{1}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}lep_{1}},#Delta #eta_{b_{2}lep_{1}},#Delta #phi_{b_{2}lep_{1}},#Delta pT_{b_{2}lep_{1}}(GeV),#Delta #vec{pT}_{b_{2}lep_{1}}(GeV),#Delta #vec{p}_{b_{2}lep_{1}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}lep_{1}},#Delta #eta_{#tau_{1}lep_{1}},#Delta #phi_{#tau_{1}lep_{1}},#Delta pT_{#tau_{1}lep_{1}}(GeV),#Delta #vec{pT}_{#tau_{1}lep_{1}}(GeV),#Delta #vec{p}_{#tau_{1}lep_{1}}(GeV),pT_{lep_{1}}(GeV),#eta_{lep_{1}},#phi_{lep_{1}},Energy_{lep_{1}}(GeV),Mass_{lep_{1}}(GeV),Q_{#tau_{1}}Q_{lep_{1}},sT(GeV)
67.11634064,2.49354744,0,41.97552109,1.353886247,0.321795136,86.78466461,3.97179842,2.973497361,1.223928243,2.709923655,5.539009094,76.60190394,104.5172861,1.727379546,0.672112465,1.591258913,-22.16838455,77.37291044,82.5086746,1.621737919,1.47007224,-0.684778422,-4.442371368,29.97063864,86.6102549,36.43651199,0.129958004,-2.388128519,37.17581968,5.645650864,1.247361799,-0.551815778,-1.118664742,-27.70739365,58.30872262,72.12458703,2.898951921,0.246143997,2.88848323,-9.981380463,82.20144212,82.82618482,64.14390564,0.681773782,-1.269463778,79.70729715,3.325242043,2.411863544,0.797959775,-2.276037335,17.72601318,100.6434222,113.5619501,46.41789246,-0.116185993,1.006573558,46.73154692,0.000510999,1,256.0901718
200.3283386,0.054899141,2,296.6455688,0.306082517,-3.117440462,311.7229126,25.8380127,2.55290405,-0.367970496,-2.526245594,208.9268188,371.7390094,372.8310677,1.413243303,0.652000457,-1.253854871,267.5513172,288.9037239,306.5440754,2.538837989,0.045544446,2.538429443,172.6012497,404.9616188,409.3147965,87.71875,0.674053013,-0.591194868,108.7386059,8.419466019,1.630741825,1.019970953,1.272390723,58.62449837,83.90727145,111.859276,1.286764114,0.413514942,-1.21851027,-36.32556915,124.7906565,128.5888075,29.09425163,-0.34591794,-1.863585591,31.18843261,4.566092968,2.563664692,-0.606456012,-2.490900993,-94.95006752,148.2448703,154.3416792,124.0443192,0.260538071,0.627315402,128.2783012,0.105658376,-1,737.8312283
202.8388519,2.780594826,3,67.73899841,0.827172816,-1.541110158,93.31577485,13.96533394,1.366139697,-0.382223785,-1.311580211,7.939910889,78.02507685,83.11609505,2.371834085,2.183359087,0.926574349,11.05463409,56.47628764,174.7268791,1.562712711,1.012257755,1.190548301,39.37718201,62.98296569,92.63042204,59.79908752,1.209396601,-0.229529947,109.3046127,6.201937199,3.404636736,2.565582871,2.23815456,3.114723206,104.8087531,220.492616,2.864476541,1.39448154,2.502128512,31.43727112,84.27416353,128.167752,56.68436432,-1.356186271,-2.467684507,117.3135233,1.095635891,1.200483476,-1.171101332,0.263973951,28.32254791,30.22488833,102.0055626,28.36181641,-0.185084939,-2.731658459,28.84899213,0.000511,-1,415.4231186
128.199707,-2.470707893,0,313.9877625,0.838685274,0.800855041,432.4768817,35.19122696,2.806709929,-0.495523572,2.762621403,235.7527008,387.753506,418.3643941,0.624247832,0.526462018,0.335444629,285.2488327,287.00659,405.313805,3.069262166,0.215413213,3.061693549,190.91362,436.7797422,486.1850463,78.23506165,1.334208846,-1.961766362,159.180572,10.54138565,2.633560639,1.02198559,-2.427176774,49.4961319,101.7047864,164.3548963,0.77128157,0.710936785,0.299072146,-44.83908081,53.52919744,77.7974619,28.73892975,0.312223256,0.465410411,30.59614388,5.199363708,2.743935956,-0.311048806,2.72624892,-94.33521271,149.8190833,166.5059285,123.0741425,0.623272061,-2.260838509,147.7633244,0.105658376,-1,672.2356033
57.28258514,2.030435562,0,107.4895096,0.388807178,2.173291922,116.624687,14.5219574,0.502504253,-0.336173534,-0.373494148,59.87757111,65.50559383,65.71418167,2.81910182,0.215964898,2.810817361,-75.18292999,286.4701074,286.6859549,3.364155477,2.600655198,-2.13404185,70.29633331,131.173643,248.1549013,47.61193848,0.724980712,2.54678607,60.76755522,3.223166466,3.147677821,0.552138433,-3.098873798,-135.0605011,230.2499193,230.3252676,3.42410444,2.936828732,-1.760547702,10.41876221,65.71333044,215.6752157,182.6724396,0.172842279,-0.637525439,186.1027451,16.06728172,2.734568442,2.3846903,1.338326097,145.4792633,177.825882,267.2714931,37.19317627,-2.211848021,-1.975851536,171.8711153,0.105658376,1,432.249649
240.6716614,-2.998381853,2,134.3033905,-2.166461945,-0.695187747,594.0189159,17.84398651,1.157252363,0.19500494,1.140704215,89.59287262,122.5928039,364.5877259,3.939969763,-2.665979654,-2.901019514,101.4825401,166.36294,618.2505585,3.762735121,-3.531709909,-1.298152804,-92.27763367,230.1907118,1019.488664,44.71051788,-2.361466885,-1.835891962,239.3855222,8.934990883,3.634471468,-2.860984594,2.241461579,11.88966751,70.00203198,261.6271789,4.453810406,-3.726714849,-2.438857019,-181.8705063,262.2952106,700.7440093,32.82085037,0.499517709,2.205831766,37.67813346,7.109024048,1.821721868,-0.865730256,1.602866709,-193.7601738,229.9849452,459.4232737,226.5810242,1.365247965,0.602965057,472.6493184,0.000510999,-1,679.0874443
44.39803314,2.625039101,1,79.34414673,0.209713936,-1.001812935,82.68847141,16.15337181,2.799562545,-0.76309365,-2.693554997,16.97664642,138.2220933,148.3749565,2.733962592,0.556378216,-2.676750779,49.07557869,107.2626886,110.7234423,1.310419918,0.432669058,-1.236930817,23.52452087,80.67592781,85.8353511,62.36750031,0.972807586,1.691742063,94.89045135,10.74289894,1.319578867,1.319471866,0.016804218,32.09893227,32.10723459,87.51139472,1.884569568,1.195762709,1.45662418,6.547874451,78.81827001,114.6444631,30.26856804,-0.34666428,1.674937844,32.78678109,6.648398399,1.445124727,-0.123709157,1.439819962,-25.55105782,59.92237521,59.95074652,55.81962585,-0.222955123,0.235117882,57.21284852,0.105658376,-1,272.1978741
29.89905548,2.265306234,2,73.30379486,-0.928150892,2.637174368,107.5146125,8.07604599,1.971814351,-0.916540002,1.74585402,7.756950378,106.5058776,131.7031468,2.169930254,-1.642300308,-1.418254916,-120.2110672,196.2409191,301.1899477,2.572285584,0.30471015,2.554174006,-44.20315552,183.0873556,211.6717068,65.54684448,-0.01161089,0.891320348,65.92750819,7.033369064,3.202399948,-0.725760305,3.119076371,-127.9680176,259.0492952,299.850847,1.464524883,1.221250152,0.808319986,-51.9601059,86.39571596,203.0020848,193.5148621,0.714149415,-2.227756023,248.0138447,38.57658005,3.021662588,1.947010458,-2.310756385,76.00791168,286.2171722,440.3985452,117.5069504,-1.232861042,0.083000362,218.7092109,0.105658375,-1,479.7715073
33.29854584,1.975375175,0,64.39780426,0.830156028,0.132945046,88.36726893,9.152761459,0.554176135,0.553267747,-0.03171733,28.96504593,29.00464016,57.69907174,2.761501415,-0.131188333,-2.758383527,41.61155891,85.95462969,92.57410369,2.599230948,-0.535628855,2.543443188,-17.3248291,139.7273509,166.1413613,35.43275833,0.276888281,0.164662376,37.32179447,6.220674515,2.811261047,-0.68445608,-2.726666197,12.64651299,57.03011114,59.09949769,2.795916219,-1.088896602,2.575160518,-46.28987503,113.2294284,179.8742078,22.78624535,0.961344361,2.891328573,34.41567904,4.252907753,1.061431496,-0.404440522,-0.981358592,-58.93638802,71.60645628,143.416724,81.72263336,1.365784883,-2.410498142,170.5542351,0.000510999,-1,237.6379871
54.88938141,-0.00937386,0,58.49308777,2.119940281,-2.984932423,247.2195752,5.730623245,3.569005519,3.45137918,0.908725564,22.91197586,46.13626716,306.2916551,2.629427639,1.710384846,-1.997116268,2.292427063,96.43000051,236.9727245,3.028711466,1.604909658,2.568532292,16.8746109,96.14840171,238.0205116,35.58111191,-1.331438899,2.389527321,72.56803284,8.553658485,3.387473693,-1.740994334,-2.905841831,-20.6195488,91.17712625,125.5642878,2.482822601,-1.846469522,1.659806728,-6.03736496,57.10852846,102.4531456,56.20066071,0.409555435,-0.987816155,61.01055166,1.919726133,1.720772354,-0.105475187,-1.717536747,14.58218384,74.66323435,74.67405373,41.61847687,0.515030622,0.729720592,47.26147885,0.105658376,-1,246.7827187
