MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}#tau_{2}},#Delta #eta_{b_{1}#tau_{2}},#Delta #phi_{b_{1}#tau_{2}},#Delta pT_{b_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{2}}(GeV),#Delta #vec{p}_{b_{1}#tau_{2}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}#tau_{2}},#Delta #eta_{b_{2}#tau_{2}},#Delta #phi_{b_{2}#tau_{2}},#Delta pT_{b_{2}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{2}}(GeV),#Delta #vec{p}_{b_{2}#tau_{2}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}#tau_{2}},#Delta #eta_{#tau_{1}#tau_{2}},#Delta #phi_{#tau_{1}#tau_{2}},#Delta pT_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{p}_{#tau_{1}#tau_{2}}(GeV),pT_{#tau_{2}}(GeV),#eta_{#tau_{2}},#phi_{#tau_{2}},Energy_{#tau_{2}}(GeV),Mass_{#tau_{2}}(GeV),Q_{#tau_{1}}Q_{#tau_{2}},sT(GeV)
29.96720123,2.003648281,2,183.9260712,-0.411724001,-2.108318567,200.9121919,21.7006321,0.973130582,-0.929600447,-0.287795305,146.2120209,148.1503696,177.7962943,3.870334327,-2.382311374,3.050259058,145.7717171,221.94868,306.9993072,2.520284395,0.392862469,-2.489476353,148.3570061,213.2914962,218.2116848,37.71405029,0.517876446,-1.820523262,43.450028,6.981471062,3.283925291,-1.452710927,-2.945130944,-0.440303802,75.50267245,136.5704439,2.568327783,1.322462916,-2.201681048,2.144985199,65.34558839,83.65019747,38.1543541,1.970587373,1.124607682,139.6538023,5.746580601,2.873031084,2.775173843,0.743449897,2.585289001,26.88616499,168.1882605,35.56906509,-0.80458647,0.381157786,48.29215264,7.432975292,-1,325.3307419
55.11004257,1.427206516,0,55.2482872,-1.303182721,-0.30037719,109.2720851,4.264715672,2.437116787,0.038019776,2.436820209,16.21442795,88.66546127,92.03042214,1.451779828,-0.810652792,1.204369843,-0.515922546,62.88384655,90.86503386,2.8364455,-1.451967403,-2.436639845,23.19009781,82.32910171,128.7345219,39.03385925,-1.341202497,-2.737197399,79.98681062,6.404841423,1.496388664,-0.848672569,-1.232450366,-16.73035049,56.46487513,69.74022554,2.051191625,-1.48998718,1.409725253,6.975669861,46.36805294,87.58876957,55.76420975,-0.492529929,-1.504747033,63.36250382,9.370036125,2.718892501,-0.641314611,2.642175619,23.70602036,85.29994918,91.59749423,32.05818939,0.148784682,2.136262655,32.42092391,0.685379565,-1,237.2145882
17.49308395,-2.124476671,1,76.62407684,1.309916139,2.64681077,152.7546278,11.5494709,2.216444005,1.065188468,1.943707168,46.35243034,92.07478003,154.5738916,1.214641542,-0.134022236,1.207224965,48.62205505,71.61933513,104.1508526,2.037795198,0.45044136,-1.987388198,52.6854248,89.0436669,140.3123992,30.2716465,0.244727671,0.703103602,31.3453407,3.189088583,1.407306771,-1.199210703,-0.736482203,2.26962471,21.08366447,52.9216789,2.431098743,-0.614747107,2.352089942,6.332994461,50.10033912,52.50883294,28.00202179,1.443938375,1.439585805,63.06957289,7.421585083,3.143386007,0.584463596,3.088572145,4.063369751,51.92253483,61.42560753,23.93865204,0.859474778,-1.64898634,33.81806624,5.676712513,1,176.3294811
51.59348297,-2.665135622,3,148.5714417,-1.450196385,0.313145161,334.5527333,15.94516182,0.631046061,0.437402725,0.454860404,103.6227188,109.9804254,189.5027195,2.94040079,0.44491291,-2.906545941,-8.636856079,303.6721823,370.255986,2.66657563,0.219201446,2.657550812,97.55567932,195.1758394,257.9877832,44.94872284,-1.887599111,-0.141715243,152.1730379,10.4653616,2.921788614,0.007510185,2.921778962,-112.2595749,201.3141898,417.8477216,2.213471669,-0.21820128,2.202690408,-6.06703949,85.62673487,86.82747818,157.2082977,-1.895109296,-3.063494205,534.7894145,0,0.753680313,-0.225711465,-0.719088554,106.1925354,123.4840307,400.0783146,51.01576233,-1.669397831,-2.344405651,140.2768873,3.805819035,-1,453.3377075
159.1314545,0.464637578,0,131.8749542,0.650636494,3.117124081,161.8565739,18.57812691,0.724952969,-0.653941453,-0.312917535,47.27802277,57.60828378,77.91301799,2.869524411,1.925116003,-2.12793297,54.7124939,184.6784136,286.6252278,2.641831171,-1.03287226,2.431552351,108.3476524,150.5000179,153.6253865,84.59693146,1.304577947,-2.853143692,167.6148771,8.625489235,3.153699159,2.579057455,-1.815015435,7.43447113,127.5439851,300.1066746,2.770506002,-0.378930807,2.744469885,61.06962967,106.6820708,135.3433006,77.16246033,-1.274479508,-1.038128257,149.8077944,17.47345543,3.42357068,-2.957988262,-1.723699987,53.63515854,84.02730848,206.2598396,23.52730179,1.683508754,0.68557173,65.53746521,1.270829201,-1,476.2931023
15.18303776,-1.690973282,2,45.93893814,-1.042301297,-2.520979166,73.36608092,4.37798214,2.73630202,-2.11341548,-1.738051713,7.245361328,64.80291195,124.9847793,0.879463365,0.001881599,0.879461352,7.436260223,36.57080189,37.69006695,2.000846387,0.8896662,-1.792171955,11.9785614,62.83950217,85.32556958,38.69357681,1.071114182,-0.782927454,63.39711252,6.18352747,3.365390969,2.115297079,2.617513065,0.190898895,74.56106709,122.945335,3.003569306,3.003081679,-0.054120243,4.733200073,5.123581984,164.6728883,38.50267792,-1.044182897,2.882744789,61.50160905,1.952995777,2.815277255,0.8877846,-2.671633307,4.542301178,70.47963761,97.13191056,33.96037674,-1.931967497,-0.728807211,119.7100956,2.882962465,-1,172.2786074
22.59592438,-1.922379971,1,38.96701813,0.9371773,-3.02741313,58.0878965,9.109605789,1.700146594,1.689432561,-0.190567732,2.606319427,7.621839214,72.5124524,3.210661989,1.371454686,-2.903009206,-27.43759155,104.6737138,126.9649502,2.122527627,1.478328288,1.523045961,1.746246338,52.58663706,82.25069584,36.3606987,-0.752255261,-2.836845398,47.47526425,5.605798721,2.731016053,-0.317977875,-2.712441474,-30.04391098,100.6121668,100.6124853,1.726567955,-0.211104274,1.713613693,-0.86007309,55.61244357,56.31483679,66.40460968,-0.434277385,-0.124403924,72.79031229,1.900634408,1.860202764,0.106873602,-1.85713014,29.18383789,84.8004662,85.23678951,37.22077179,-0.541150987,1.732726216,42.85866132,2.143564463,-1,201.5490227
6.591863155,-2.132530451,0,46.92578125,-2.125907898,1.201487064,199.5848557,7.847506523,2.475984688,-0.006334066,2.475976586,15.26108742,74.44525478,98.10021074,1.531681791,-0.755186558,-1.332569838,2.178611755,56.68615564,124.9938911,2.942484955,-2.057594225,2.103455186,14.50214005,69.27221396,203.7516242,31.66469383,-2.119573832,-1.274489522,133.7965747,3.661998034,2.585462755,-0.748852491,2.474638883,-13.08247566,72.32921028,86.53945368,2.084811846,-2.051260158,-0.3725214,-0.758947372,11.8916464,128.2797374,44.74716949,-1.37072134,2.534056902,93.87622234,3.960962772,3.130908401,-1.302407667,-2.847160284,12.32352829,76.35747401,110.7460059,32.4236412,-0.068313673,-0.901968122,32.83294813,4.66864109,-1,162.3531489
252.1335297,-0.745756388,0,187.5124664,-1.795633435,2.151510477,580.6008896,19.10427475,0.601641563,-0.404695272,-0.445190191,30.17259216,81.61990424,265.4469502,1.987403649,-1.795286287,-0.852478981,146.1040154,163.2652038,572.8972277,3.592866467,-2.321876407,2.741820455,163.9018421,209.4630601,599.9170725,157.3398743,-1.390938163,2.596700668,336.4950277,22.8130188,1.449009154,-1.390591014,-0.40728879,115.9314232,120.4408801,320.0782925,3.641686565,-1.917181134,-3.096174661,133.72925,180.9293265,358.5690789,41.40845108,-0.000347149,3.003989458,42.19327596,8.100154877,2.739964304,-0.52659012,-2.688885872,17.79782677,63.4862972,64.80779552,23.61062431,0.526242971,-0.590309978,27.20958782,3.705914021,-1,662.0049458
45.93413925,2.207543135,3,103.1236954,0.089636296,0.068044409,104.2451259,12.11924171,0.963634328,0.857932299,0.438797548,10.43518829,43.81728487,98.02242813,2.977126928,-0.320275843,2.959849343,-61.79503632,266.9953827,273.7101363,1.59974385,-0.191265285,1.588268861,-1.76474762,148.3713098,149.7940388,92.68850708,-0.768296003,-0.370753139,121.8055052,9.721599579,2.782782165,-1.178208143,2.521051794,-72.23022461,246.2960495,287.311186,1.556309696,-1.049197584,1.149471313,-12.19993591,107.8924065,152.8572795,164.9187317,0.409912139,-2.891804934,179.3135477,11.10560894,1.377634473,0.129010558,-1.371580482,60.0302887,177.0682694,181.4552523,104.888443,0.280901581,-1.520224452,109.1027455,3.265253782,-1,511.5535164
