MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}lep_{1}},#Delta #eta_{b_{1}lep_{1}},#Delta #phi_{b_{1}lep_{1}},#Delta pT_{b_{1}lep_{1}}(GeV),#Delta #vec{pT}_{b_{1}lep_{1}}(GeV),#Delta #vec{p}_{b_{1}lep_{1}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}lep_{1}},#Delta #eta_{b_{2}lep_{1}},#Delta #phi_{b_{2}lep_{1}},#Delta pT_{b_{2}lep_{1}}(GeV),#Delta #vec{pT}_{b_{2}lep_{1}}(GeV),#Delta #vec{p}_{b_{2}lep_{1}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}lep_{1}},#Delta #eta_{#tau_{1}lep_{1}},#Delta #phi_{#tau_{1}lep_{1}},#Delta pT_{#tau_{1}lep_{1}}(GeV),#Delta #vec{pT}_{#tau_{1}lep_{1}}(GeV),#Delta #vec{p}_{#tau_{1}lep_{1}}(GeV),pT_{lep_{1}}(GeV),#eta_{lep_{1}},#phi_{lep_{1}},Energy_{lep_{1}}(GeV),Mass_{lep_{1}}(GeV),Q_{#tau_{1}}Q_{lep_{1}},sT(GeV)
29.42810822,-1.333585978,1,94.33863068,-0.621106267,1.508934498,113.2178135,4.512913704,1.704664114,1.076483011,1.321765512,63.13250732,91.77386789,93.90924194,2.192336073,-1.2411924,-1.807146613,-9.238540649,155.5764667,203.292253,1.207098506,-0.042792737,1.206339747,41.65294647,90.17936757,95.11427572,31.20612335,-1.697589278,0.187168986,88.22347959,5.3355937,3.893804104,-2.317675412,-3.128912125,-72.37104797,134.7813667,202.2315361,1.125211673,-1.119275749,-0.115425766,-21.47956085,21.98299249,54.75791712,103.5771713,0.620086133,-2.967104197,125.9452065,21.26775169,3.243032808,1.198399663,3.01348636,50.89148712,155.9764272,185.6144091,52.6856842,-0.578313529,0.302594751,61.74434787,0.105658375,1,311.2357178
16.21333313,2.546963692,2,120.3315582,1.209825397,-1.532533526,220.6911251,21.16176987,2.763856806,-0.944789529,-2.597359657,32.61418152,200.5852346,275.8688034,2.509595576,0.384913683,-2.479901493,-362.6895905,582.667481,638.6235311,3.020402316,0.593921721,-2.961433291,87.10969543,153.1314819,222.923847,87.71737671,2.154614925,1.064826131,383.4838943,10.22403145,1.334880913,1.329703212,0.117458165,-395.303772,396.041596,402.5376358,1.581196358,1.53871125,-0.364073634,54.49551392,57.89456473,356.1343686,483.0211487,0.824911714,0.947367966,656.8974111,0,0.524935456,0.209008038,-0.481531799,449.7992859,453.8379517,620.6892583,33.22186279,0.615903676,1.428899765,39.72487393,0.105658375,-1,740.5052795
16.5327034,0.063841477,0,33.95318222,2.301243305,-0.432567358,171.3425843,5.97961092,2.41609544,0.761821747,2.292846441,0.148784637,61.74731198,111.3554397,4.681133411,4.468647957,1.394344091,-15.38916397,54.76602636,384.4519557,3.472531943,2.438397065,-2.472387075,-37.9813652,100.7900244,204.3244919,33.80439758,1.539421558,-2.725413799,82.57020219,4.947443008,3.814166622,3.70682621,-0.89850235,-15.53794861,38.72746902,290.4568898,2.2616548,1.676575318,1.51795179,-38.13014984,77.84877304,115.31237,49.34234619,-2.167404652,-1.826911449,218.4993145,8.308539391,3.156132015,-2.030250892,2.41645414,-22.59220123,113.6752866,232.4827052,71.93454742,-0.13715376,2.039819717,72.61219462,0.000511,1,205.5671768
75.93364716,-0.143204972,1,104.6297684,-0.549716353,0.901832342,121.6604148,14.09779835,1.249415088,0.624795556,-1.081974387,45.92425156,92.87091346,96.30160765,2.609773932,-0.632316448,-2.532014195,-28.24501801,226.716524,237.7074843,2.21847413,-1.949499846,1.058809623,31.93817902,93.69755602,219.8197699,58.70551682,-1.174511909,1.983806729,104.6252864,10.7537899,1.919100319,-1.257112004,-1.450039808,-74.16926956,138.6459645,169.163713,3.348126789,-2.574295402,2.14078401,-13.98607254,115.4814491,252.3054175,132.8747864,0.082600094,-2.84933877,137.3194043,32.86601257,2.997295863,-1.317183398,-2.692361489,60.18319702,200.8503199,237.8504982,72.69158936,1.399783492,-0.156977281,156.3222612,0.000510995,1,444.8353081
24.42815971,-0.08688803,1,110.2248688,0.73446101,2.619596243,142.0525058,14.4561491,1.638375757,-1.378663838,0.885189891,80.06674004,94.07273936,100.202716,1.957016377,1.046801984,-1.653517071,87.0196743,114.5018988,149.2923976,1.704769626,0.832472354,1.487692595,42.32234955,124.5701318,156.7211936,30.15812874,2.113124847,1.734406352,126.7661264,6.727688313,3.511113427,2.425465822,-2.538706962,6.952934265,50.99891958,139.9332235,2.291753208,2.211136192,0.602502704,-37.74439049,46.32275061,137.6377409,23.20519447,-0.312340975,-2.010071993,24.68928484,4.100795269,3.148513198,-0.21432963,3.141209666,-44.69732475,91.10771243,91.1104052,67.90251923,-0.098011345,1.131903648,68.22892379,0.000511001,-1,255.9188709
51.87687302,1.869431853,0,64.91020966,0.014779821,-1.567916036,65.03142398,3.851018906,1.321709418,1.320530668,-0.055808067,23.2794075,23.45943179,75.85615987,2.81117318,1.476627246,-2.392125964,40.64986992,84.30592459,98.26153416,3.021493313,-0.321470603,-3.004343271,31.11260223,98.49859048,99.06950016,41.63080215,-1.305750847,-1.512107968,82.6962183,6.262997627,2.341526736,0.156096578,-2.336317897,17.37046242,61.00279528,64.73448633,3.374911558,-1.642001271,-2.948535204,7.833194733,75.08106484,111.740921,24.26033974,-1.461847425,0.824209929,55.67125042,7.669201374,1.899464636,-1.798097849,-0.612217307,-9.537267685,19.7180608,64.19962733,33.79760742,0.336250424,1.436427236,35.72648609,0.105658375,1,216.475832
39.69761276,-0.6617589,1,97.61043549,-1.306586623,-2.313903093,193.6594121,8.382570267,2.273481634,0.139987826,-2.269167721,65.32349014,120.9253758,158.369578,2.009373262,-1.874001801,0.725050449,57.6866188,72.7199612,204.3183823,3.162334637,-1.238626845,2.909667317,37.53665924,156.6853866,226.0704648,32.28694534,-1.44657445,-0.044735372,72.75074846,7.276896477,3.608531096,-2.013989627,2.994218171,-7.636871338,72.01700005,114.2353243,1.766399708,-1.378614672,-1.104350269,-27.7868309,53.9144946,81.18704637,39.92381668,0.567415178,-3.038953543,47.69804418,10.51300621,2.27513784,0.635374956,2.184616868,-20.14995956,89.25061338,93.53202829,60.07377625,-0.067959778,1.059614897,60.21264866,0.105658376,-1,269.5925865
27.91745949,-1.401365161,3,202.5951385,0.131498069,-0.811046779,204.8900264,14.87603855,3.459745967,2.130308956,-2.726100862,93.40994263,305.6842809,521.2678841,1.350394831,-0.529455751,-1.242273241,163.939682,193.6117208,193.6131086,3.005944693,1.676978916,2.494683389,162.144207,236.1349928,263.6501356,109.1851959,-1.998810887,1.915054083,410.3548416,6.364936829,3.045667859,-2.659764707,1.483827621,70.52973938,112.6164088,437.6978069,1.155077543,-0.45333004,-1.062401056,68.73426437,96.21773471,319.7802172,38.65545654,0.66095382,0.431226462,48.06012665,7.873101711,3.369218666,2.206434667,-2.546228677,-1.795475006,75.6290389,140.1566249,40.45093155,-1.545480847,2.977455139,99.17432708,0.105658376,1,418.8041821
25.47167397,-1.240770221,3,74.68831635,1.897195578,2.033473492,254.7641118,9.655508041,1.712709365,-0.126572371,-1.708025996,18.50953674,99.4102223,105.2412441,2.900042386,2.884518385,-0.299665689,15.30384064,25.09035947,313.018477,3.162968599,1.156616986,2.943910241,-195.707222,343.9421918,344.8006866,56.1787796,2.023767948,-2.54168582,216.3383948,5.878917217,3.324176032,3.011090755,1.408360306,-3.205696106,74.8565971,287.3870009,2.075463431,1.283189356,-1.63124907,-214.2167587,279.4732505,279.6603571,59.38447571,-0.987322807,2.333139181,91.02260195,6.939967155,3.496407929,-1.727901399,-3.039609377,-211.0110626,329.5269291,437.4430292,270.3955383,0.740578592,-0.910436749,347.9972484,0.105658376,-1,486.118784
58.01478577,-0.293954521,1,185.5862732,0.481157541,1.410912037,208.2586692,17.91458893,3.384712908,-1.324916959,-3.114623014,149.0108376,222.1505974,222.6921984,2.617368397,1.146025002,-2.353134934,101.1161423,252.3478719,295.1974671,3.040888429,2.26227963,-2.032017056,150.9271393,203.3931332,280.2096564,36.57543564,1.8060745,-1.757650256,114.6777207,9.139162064,2.58561758,2.470941961,0.76148808,-47.89469528,63.24948375,180.162663,3.747000804,3.587196589,1.082605958,1.916301727,36.74056065,211.4777422,84.47013092,-0.664867461,-2.519138336,105.1005232,16.24125099,1.161525327,1.116254628,0.321117878,49.81099701,52.72988654,65.92382454,34.65913391,-1.781122088,-2.840256214,105.7963651,0.000511,-1,399.3057594
