MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}#tau_{2}},#Delta #eta_{b_{1}#tau_{2}},#Delta #phi_{b_{1}#tau_{2}},#Delta pT_{b_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{2}}(GeV),#Delta #vec{p}_{b_{1}#tau_{2}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}#tau_{2}},#Delta #eta_{b_{2}#tau_{2}},#Delta #phi_{b_{2}#tau_{2}},#Delta pT_{b_{2}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{2}}(GeV),#Delta #vec{p}_{b_{2}#tau_{2}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}#tau_{2}},#Delta #eta_{#tau_{1}#tau_{2}},#Delta #phi_{#tau_{1}#tau_{2}},#Delta pT_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{p}_{#tau_{1}#tau_{2}}(GeV),pT_{#tau_{2}}(GeV),#eta_{#tau_{2}},#phi_{#tau_{2}},Energy_{#tau_{2}}(GeV),Mass_{#tau_{2}}(GeV),Q_{#tau_{1}}Q_{#tau_{2}},sT(GeV)
5.02901125,2.21434021,1,53.91374588,0.826261401,-2.326779842,73.61827631,5.811140537,1.531620934,1.036923721,-1.127231956,5.955318451,54.65717077,81.14020766,2.459488134,0.156121731,2.454528038,-19.1908226,119.7712805,119.8075764,3.508902683,3.03627336,-1.758818388,0.113456726,82.97886456,303.6167076,47.95842743,-0.21066232,-1.199547887,50.34428538,11.44316959,2.841392418,-0.880801991,-2.701425314,-25.14614105,118.2703325,133.9648313,2.096735653,1.999349639,-0.631586432,-5.841861725,32.08740836,234.2957943,73.10456848,0.67013967,1.501877427,90.50058206,8.033496857,3.546759987,2.880151629,2.069838881,19.30427933,109.5597746,314.6936964,53.80028915,-2.210011959,-0.567961454,248.488012,12.6079731,1,233.8060422
47.72446823,1.948757052,1,177.6904907,1.170483947,1.077435732,315.2918741,28.96508408,0.776646659,0.379129469,-0.677820683,139.4511795,149.8356272,270.5885574,2.972300201,0.825389415,2.855398536,18.20675659,333.7380925,390.4720934,3.153808692,1.488238573,2.780585408,149.3691788,204.4311561,337.0598856,38.23931122,0.791354477,1.755256414,51.20211085,5.986896992,2.785939954,0.446259946,-2.749966089,-121.2444229,195.3738816,196.6785363,3.034715905,1.109109104,-2.824779216,9.917999268,65.745893,78.37949685,159.4837341,0.345094532,-1.777962804,171.1849532,26.79532623,0.667057726,0.662849158,-0.074813128,131.1624222,131.2587128,146.599056,28.32131195,-0.317754626,-1.703149676,30.40453546,6.21211195,-1,451.4593163
35.3769455,2.320470333,1,111.9555588,0.38578698,2.394715786,121.4075329,15.68046379,2.384637128,-0.672942549,2.287715577,74.83525848,139.1878597,139.2159127,2.635183421,-0.122401327,-2.632339183,27.45006561,190.2523151,190.2531009,3.262281661,0.97719112,3.112487614,56.75117874,167.1442791,184.8116603,37.12030029,1.058729529,0.107000209,60.64133821,9.183659554,1.470109018,0.550541222,1.363130547,-47.38519287,85.00351917,85.03323515,1.84477371,1.650133669,0.824772038,-18.08407974,40.54321033,91.16165538,84.50549316,0.508188307,-1.256130338,98.218345,22.29543114,1.224309371,1.099592447,-0.53835851,29.30111313,46.6721622,92.10302194,55.20438004,-0.59140414,-0.717771828,65.83770706,9.537836075,1,324.1626778
71.70514679,-0.54853642,1,56.85449982,-1.129636049,2.157024622,97.44682821,7.532470226,0.680635182,-0.615028322,-0.291555166,8.396179199,17.40789994,55.52949946,2.939682047,-0.782744914,2.833556235,-37.61968231,149.6486733,156.3690359,2.709143007,-1.286382988,2.384255573,-35.79993439,139.5463822,167.8997186,48.45832062,-0.514607728,2.448579788,55.32579539,5.831868649,3.129608622,-0.167716593,3.125111401,-46.01586151,142.9281527,143.1186161,2.758746128,-0.671354666,2.675810739,-44.19611359,137.6815241,143.5528466,94.47418213,-0.346891135,-0.676531613,100.5588236,8.30106926,0.674923991,-0.503638074,-0.449300662,1.819747925,41.7235299,63.61148598,92.6544342,0.156746939,-0.227230951,94.16168045,8.301719666,-1,364.1465836
16.01950073,-1.463644028,1,59.57999802,0.067090623,2.716985226,60.0540894,6.380863667,2.011082929,0.077600562,-2.009585206,28.20274353,78.24807317,78.3677879,1.88564177,1.46291434,1.189759016,-37.50462723,93.12908716,209.8096801,2.883206134,0.255129643,-2.871895973,36.20708275,82.34384466,82.7733398,31.37725449,-0.010509939,-1.556614876,32.47127204,8.351206779,3.380705563,1.385313778,-3.083841085,-65.70737076,128.4223399,224.1204065,0.880395612,0.177529081,-0.862310767,8.004339218,24.00895552,24.35503557,97.08462524,-1.395823717,1.52722621,208.3852301,11.83491707,2.528624296,-1.207784697,2.221530318,73.71170998,112.7869099,212.0668781,23.37291527,-0.18803902,-0.694304109,24.1094463,3.927758932,1,227.4342937
21.68870544,2.180067778,0,66.64753723,-0.209734112,2.757631063,68.65950603,8.599993706,2.362963468,0.747517258,-2.241609756,24.53227997,98.51513198,103.7938411,2.725980678,-0.771768302,-2.614449147,-1.977798462,130.6023202,141.5999641,1.582960433,0.440413445,1.520460367,29.33893585,74.72354559,75.6683859,42.11525726,-0.95725137,-1.283944488,63.65144147,9.554980278,1.56436499,-1.51928556,-0.372839391,-26.51007843,33.1649287,93.47418621,2.539750878,-0.307103813,-2.521115184,4.806655884,75.64645423,78.44305672,68.62533569,0.56203419,-0.911105096,79.93593219,5.413084507,2.46667255,1.212181747,-2.148275793,31.31673431,94.32280569,115.485458,37.30860138,-0.650147557,1.237170696,45.64105211,3.886109352,1,236.385437
9.439581871,-1.549037218,0,74.64644623,-0.778052688,1.636707425,98.86382804,9.527031898,2.983247978,-0.665852323,2.907990575,38.71029282,109.9217523,125.2684038,2.322991626,-0.042921603,-2.322595064,33.26782608,107.2532154,111.6115765,2.157346744,0.869371176,1.974421114,49.06260109,87.90190666,87.9020275,35.93615341,-0.112200364,-1.27128315,36.31125785,3.282463312,1.223114363,0.62293072,1.052599669,-5.442466736,39.12216612,48.8136708,1.796792456,1.535223499,-0.933569461,10.35230827,29.18783035,66.66197574,41.37862015,-0.735131085,-2.323882818,53.08000793,0.911759377,2.185668302,0.912292778,-1.98616913,15.79477501,56.75472524,64.5446258,25.58384514,-1.647423863,-0.337713689,68.89893862,1.65E-06,-1,186.9846468
58.76437378,-0.817534745,5,81.36260986,-1.512299895,-1.172165155,193.8864125,11.52461815,3.55720411,-3.077317953,1.784324884,21.206707,110.9638024,332.2549775,2.699263402,-0.230624437,2.689393107,-289.2784424,445.247322,626.3958688,1.304385198,0.209247231,-1.287492268,-9.053016663,103.35458,124.3602737,60.15590286,1.565018058,-2.95649004,150.7255993,13.22267342,2.987107708,2.846693516,0.905068223,-310.4851494,336.8260295,825.6088149,4.498618825,3.286565185,-3.071817152,-30.25972366,150.4836058,410.8877173,370.6410522,-1.281675458,2.421627045,719.5034494,24.42921638,2.347872753,0.439871669,2.306299932,280.2254257,436.4858503,573.1361125,90.41562653,-1.721547127,0.115327112,261.7705749,20.86266899,1,661.3395653
13.55413723,2.202379942,0,234.0108643,-1.55189538,2.41173315,577.6863742,26.00860214,4.022122801,-2.717777491,2.964988589,45.24850464,421.1449652,904.9295712,4.777067491,-3.738203287,-2.97425789,163.51297,303.7510857,890.7532723,3.513646212,-3.410629034,0.844582319,186.4071159,205.5056749,707.0442836,188.7623596,1.165882111,-0.553255439,334.9854227,42.64822006,1.076829942,-1.020425797,0.343938828,118.2644653,124.6804125,129.8864533,2.230732169,-0.692851543,-2.12040627,141.1586113,217.4508907,250.5391574,70.49789429,2.186307907,-0.897194266,317.9902168,12.21066856,2.486021249,0.327574253,-2.464345098,22.89414597,111.6542823,195.7988527,47.60374832,1.858733654,1.567150831,156.740184,10.11489487,-1,554.4290037
38.28303146,0.281894058,0,92.90988922,1.069087148,0.442860216,151.5382684,9.19224453,2.994825156,0.134934127,-2.991783832,38.04792023,147.385008,159.253134,3.395392985,1.857726634,-2.842102263,11.85877991,172.0233202,256.3907999,1.867420021,-0.187982917,1.857934326,59.97531128,107.0053311,125.8074141,54.86196899,0.93415302,-2.84854126,81.13074973,9.338048935,1.729282681,1.722792506,0.149681568,-26.18914032,28.02338131,132.7812236,1.469388814,-0.322917044,-1.43346715,21.92739105,59.99843694,60.28157178,81.05110931,-0.788639486,-2.998222828,108.070965,10.18655777,2.586752293,-2.04570955,-1.583148718,48.11653137,87.86303899,151.9364195,32.93457794,1.257070065,-1.41507411,62.75960133,4.887423515,-1,300.0405769
