MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}lep_{1}},#Delta #eta_{b_{1}lep_{1}},#Delta #phi_{b_{1}lep_{1}},#Delta pT_{b_{1}lep_{1}}(GeV),#Delta #vec{pT}_{b_{1}lep_{1}}(GeV),#Delta #vec{p}_{b_{1}lep_{1}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}lep_{1}},#Delta #eta_{b_{2}lep_{1}},#Delta #phi_{b_{2}lep_{1}},#Delta pT_{b_{2}lep_{1}}(GeV),#Delta #vec{pT}_{b_{2}lep_{1}}(GeV),#Delta #vec{p}_{b_{2}lep_{1}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}lep_{1}},#Delta #eta_{#tau_{1}lep_{1}},#Delta #phi_{#tau_{1}lep_{1}},#Delta pT_{#tau_{1}lep_{1}}(GeV),#Delta #vec{pT}_{#tau_{1}lep_{1}}(GeV),#Delta #vec{p}_{#tau_{1}lep_{1}}(GeV),pT_{lep_{1}}(GeV),#eta_{lep_{1}},#phi_{lep_{1}},Energy_{lep_{1}}(GeV),Mass_{lep_{1}}(GeV),Q_{#tau_{1}}Q_{lep_{1}},sT(GeV)
9.099887848,-0.16765511,0,46.33444214,0.043331016,-0.14953807,47.06166467,7.992890358,2.928070027,1.229575861,2.657392949,5.49546814,84.64140547,105.3003867,0.612978906,-0.233927857,0.566587061,0.240440369,25.83657544,28.05574036,3.129649532,-1.042887222,-2.950778276,-1.812431335,94.05179059,112.2092417,40.838974,-1.186244845,-2.806931019,73.33076554,5.75805521,2.552119197,-1.463503718,-2.090805888,-5.255027771,75.25420865,105.2468425,2.370597494,-2.272463083,0.675014083,-7.307899475,30.26248853,127.4836853,46.09400177,0.277258873,-0.716125131,48.44117872,7.371219158,2.881696612,-0.808959365,2.765819971,-2.052871704,92.58314527,105.3465294,48.14687347,1.086218238,2.801240206,79.45528574,0.000511,1,190.5141792
7.973685265,-0.666346431,0,64.36362457,0.411027938,2.054736614,70.00053749,4.148109436,1.340541865,-0.877642244,1.013309717,33.277565,54.69863332,60.09899191,3.527423623,1.855612427,2.999903321,32.67913055,95.83510963,131.9108499,2.784035291,0.876343697,-2.642512862,32.47657776,93.61362269,102.8446232,31.08605957,1.288670182,1.041426897,61.06272242,6.881663322,3.378939959,2.733254671,1.986593604,-0.598434448,52.59208988,126.947878,3.159034914,1.753985941,2.627362728,-0.800987244,60.9033725,90.90278788,31.68449402,-1.444584489,-0.945166707,70.9950141,3.49666667,1.170278734,-0.97926873,0.640769124,-0.202552795,20.02160861,52.06133861,31.88704681,-0.465315759,-1.585935831,35.40185648,0.000511,-1,166.9949102
46.94055176,-2.68863225,4,112.5784683,-0.601854324,0.316450924,136.6364162,28.68721962,3.065308893,1.12630868,-2.850885365,51.66979218,171.8207449,195.9187243,2.556531091,-2.252568364,1.209043831,67.73571396,105.4108028,212.4451429,2.808656931,-1.650806189,2.272309989,-29.81351471,231.6040808,340.9559784,60.90867615,-1.728163004,-3.115849018,177.1464142,9.782251358,4.044709855,-3.378877044,-2.223256111,16.06592178,95.06488877,294.3596522,3.009641786,-2.777114868,-1.159989953,-81.48330688,130.6074827,368.2943548,44.84275436,1.65071404,-0.892592907,121.2232975,4.652066231,1.221741642,0.601762176,1.063266158,-97.54922867,126.8054785,142.848017,142.391983,1.048951864,-1.955859065,228.1804619,0.000510999,-1,407.6624336
15.66052437,2.697816133,0,36.1376915,0.306266785,0.666051149,38.5433015,7.29927969,0.586091832,0.326090649,-0.486999512,1.47442627,17.13002378,20.87425226,1.64388805,-0.648769081,1.510452449,-37.86634445,80.37391642,107.0306916,1.605342573,0.030024856,-1.605061769,-19.71470642,67.55528979,67.69739913,34.66326523,-0.019823864,1.153050661,35.06108019,5.221602917,2.222648382,-0.974859729,1.997451961,-39.34077072,93.81504766,125.0016397,1.156597668,-0.296065792,-1.118062258,-21.18913269,51.25716031,53.79041761,74.00403595,0.955035865,-0.8444013,110.7280135,8.544846535,3.188603151,0.678793937,-3.115514219,18.15163803,129.8456106,145.7908352,55.85239792,0.276241928,2.271112919,57.99711738,0.105658376,-1,216.317915
52.41545486,-2.601444244,1,112.4634018,0.642235041,-0.165589958,137.5539356,17.27144432,0.747050298,0.72202874,-0.191725446,76.28377151,77.25492141,111.3472514,3.290777311,2.736631155,-1.827584535,85.89820862,121.9478826,220.3449057,3.296157075,2.028666496,2.597915262,58.16010666,161.4000714,241.1180972,36.17963028,-0.079793699,0.026135487,36.57199246,4.493668079,2.595121934,2.014602415,-1.635859089,9.614437103,46.25638349,113.2166615,3.08048657,1.306637757,2.789640708,-18.12366486,89.14200567,133.1777641,26.56519318,-2.094396114,1.661994576,109.5464425,3.274945021,1.988016452,-0.707964659,-1.85768551,-27.73810196,66.86530835,67.00937086,54.30329514,-1.386431456,-2.76350522,115.408462,0.000510999,-1,281.9269753
62.39947128,1.073181391,2,199.5814667,-0.95103097,-1.733992577,300.928062,49.37730408,2.880623154,0.838047385,-2.756023645,125.320343,269.8398848,269.8660909,2.663355072,-0.900299262,2.506575648,106.4584045,280.0532676,353.0748391,1.330484326,-0.752559796,-1.097197473,108.7149277,177.6141358,268.6729377,74.26112366,-1.789078355,1.022031069,228.5399759,8.225482941,2.015798819,-1.738346647,-1.020586014,-18.86193848,83.39623916,227.1207178,2.298202662,-1.590607181,1.658826172,-16.60541534,122.3026297,232.58153,93.12306213,-0.050731707,2.042617083,94.49760981,15.34781647,2.683482181,0.147739466,2.679412186,2.256523132,179.0994005,179.601981,90.866539,-0.198471174,-0.636795104,92.66213476,0.105658376,-1,520.2316628
136.5108337,-1.915004134,0,154.2363892,-1.5351789,1.627061248,375.4354912,24.92396355,3.012610654,-2.774803162,1.173154026,105.1109505,142.5970037,442.7125801,3.381749594,-1.83084631,2.843278408,123.4772491,183.8593931,395.8931838,3.026521671,-1.613350123,-2.560651247,122.1377525,181.9240381,389.0492708,49.12543869,1.239624262,0.453907222,92.18106003,6.407299042,1.918429042,0.943956852,1.670124382,18.36629868,60.49066556,91.39264141,2.801483842,1.161453038,2.549380034,17.02680206,77.8479036,108.2547051,30.75914001,0.29566741,-1.21621716,32.31159907,3.573074102,0.905756641,0.217496186,0.879255652,-1.339496613,26.77988606,27.60913741,32.09863663,0.078171223,-2.095472813,32.1967598,0.000511,-1,402.7304382
18.84252548,-2.439979792,0,58.04916763,1.958740234,-0.319332868,210.1397696,10.26088428,4.176187115,3.921074152,1.437260002,9.238967896,70.69417981,378.5958918,2.905677819,2.350036949,-1.70888558,-19.78546524,103.30447,254.8208236,4.16123372,3.079687834,2.798461884,32.29545212,82.75642706,251.0403997,48.81019974,-1.962333918,-1.75659287,177.27867,8.083440781,3.508443548,-1.571037203,3.137039725,-29.02443314,126.6445217,188.0386803,1.600250449,-0.841386318,1.361201882,23.05648422,50.22549328,143.9740632,77.83463287,-0.391296715,1.389552712,83.90073596,2.278043747,1.919893345,0.729650885,-1.775837843,52.08091736,86.82027559,86.91543398,25.75371552,-1.120947599,-3.117794752,43.70058611,0.000511,-1,229.2902412
5.232437611,-0.21575667,1,45.27802658,-0.655249,-2.564545393,55.79462677,7.022627354,0.513449431,-0.310007632,0.409298897,7.221096039,18.35230734,26.0133712,1.947715617,-0.321281165,1.921034757,13.53732681,63.59096565,66.98094769,2.8551386,-0.319007814,-2.837261081,-30.47624588,119.7229412,119.8673978,38.05693054,-0.345241368,-2.97384429,41.49291301,9.681659698,1.511777895,-0.011273533,1.511735861,6.316230774,48.09574112,48.1661212,3.036638667,-0.009000182,3.03662533,-37.69734192,113.6716942,114.3627204,31.74069977,-0.333967835,1.797605157,33.55600737,1.387605309,1.524891164,0.002273351,1.524889469,-44.01357269,80.78052896,82.18998785,75.75427246,-0.336241186,0.272715688,80.07708911,0.000511001,-1,196.062367
38.9606514,-0.146192148,0,90.16452789,-0.898900747,-2.507819414,129.2147118,5.153704643,2.120858151,-2.087391615,0.375280619,37.28381729,45.31818474,177.0366635,2.819953116,0.106889248,2.81792659,7.263336182,170.8083813,170.905287,2.215354183,0.364891052,-2.185096949,43.6906662,122.9631038,124.0985016,52.8807106,1.188490868,-2.883100033,96.0640547,15.30881977,3.283502375,2.194280863,2.442645971,-30.02048111,127.9877586,218.338827,3.545310081,2.452282667,-2.560377568,6.406848907,95.2063327,181.3846176,82.90119171,-1.005789995,0.957439303,128.5884414,5.044280052,1.305901636,0.258001804,1.280161768,36.42733002,82.60958868,85.61967894,46.47386169,-1.2637918,-0.322722465,88.79749272,0.000510999,-1,311.3809433
