MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}#tau_{2}},#Delta #eta_{b_{1}#tau_{2}},#Delta #phi_{b_{1}#tau_{2}},#Delta pT_{b_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{2}}(GeV),#Delta #vec{p}_{b_{1}#tau_{2}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}#tau_{2}},#Delta #eta_{b_{2}#tau_{2}},#Delta #phi_{b_{2}#tau_{2}},#Delta pT_{b_{2}#tau_{2}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{2}}(GeV),#Delta #vec{p}_{b_{2}#tau_{2}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}#tau_{2}},#Delta #eta_{#tau_{1}#tau_{2}},#Delta #phi_{#tau_{1}#tau_{2}},#Delta pT_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{pT}_{#tau_{1}#tau_{2}}(GeV),#Delta #vec{p}_{#tau_{1}#tau_{2}}(GeV),pT_{#tau_{2}}(GeV),#eta_{#tau_{2}},#phi_{#tau_{2}},Energy_{#tau_{2}}(GeV),Mass_{#tau_{2}}(GeV),Q_{#tau_{1}}Q_{#tau_{2}},sT(GeV)
24.34803009,-3.117922068,0,51.1490593,-1.177033305,2.498569012,92.23105665,15.81862926,3.399749232,-2.343109012,2.46335848,16.24730301,81.32989649,149.6910115,2.271037843,-1.425990462,-1.767530505,3.909599304,76.10776138,115.5788013,2.750924228,-0.01205945,2.750897795,12.54536819,88.07934809,90.15687018,34.90175629,1.166075706,0.035210531,61.97684254,8.110586166,2.24789382,0.917118549,2.052296322,-12.3377037,70.54638489,80.45765073,2.348716866,2.331049562,0.287539314,-3.701934814,11.15056842,107.0092226,47.23945999,0.248957157,-2.017085791,48.72107843,0.9919312,2.261320013,1.413931012,-1.764757007,8.63576889,66.5192037,94.93968566,38.6036911,-1.164973855,-0.252328783,67.90947983,1.167051911,-1,196.2419968
24.68829536,-1.81845808,0,132.9773865,1.884503245,2.114573002,448.0679615,15.4779644,1.009723997,0.329307914,0.95451498,90.44071198,113.8133783,350.3652761,3.050342437,0.019115329,-3.050282542,0.515014648,265.1631682,265.3556602,2.432215531,0.548079729,-2.369658415,97.13036728,160.6221624,397.9591653,42.5366745,1.555195332,1.160058022,105.3653595,5.57322979,2.299406519,-0.310192585,2.278387785,-89.92569733,163.3418813,360.3995603,2.967088237,0.218771815,2.959011912,6.689655304,78.05968061,84.64764655,132.4623718,1.865387917,-1.118329763,438.2096868,13.38658619,0.862004953,0.5289644,0.680624127,96.61535263,107.0074475,369.8186525,35.8470192,1.336423516,-1.798953891,72.91750387,0.419694126,-1,368.5117474
26.01345444,2.264133692,0,55.56238174,-1.221241236,0.257438749,102.8005384,8.96763134,2.839902256,-0.422334909,2.808322996,18.31525803,91.57435803,105.8059698,3.480693965,-2.170807481,2.720813364,23.45066071,85.88061091,148.6331895,2.580761565,-2.127237499,-1.461229235,27.74652481,59.35404081,129.2522446,37.24712372,-0.798906326,-2.550884247,49.95815377,4.221708775,1.750661095,-1.748472571,-0.087509632,5.135402679,5.960363947,68.57010659,2.638448598,-1.704902589,2.013633076,9.431266785,55.21759706,82.88810274,32.11172104,0.949566245,-2.463374615,47.72123503,1.038046122,2.101594401,0.043569982,2.101142708,4.295864105,52.04342734,52.44685756,27.81585693,0.905996263,1.718667984,40.04569674,0.948705018,-1,178.7505379
31.10216141,0.268979043,0,100.4554291,-0.785690963,-1.82512176,133.3058007,7.586836815,2.899283295,-2.093459547,2.005809251,32.07984161,143.3727924,249.7355192,3.011381648,-0.644015625,-2.941710949,23.75392151,176.2888678,192.1314853,1.695618541,-1.151195198,-1.244938493,72.72213173,95.2719104,136.4378689,68.37558746,1.307768583,2.452254295,136.1790247,11.77904987,1.971012166,1.449443921,1.335665107,-8.325920105,90.08167781,156.5872291,3.175458971,0.942264348,3.032437563,40.64229012,95.99138658,143.6094661,76.70150757,-0.141675338,1.116589189,77.56144406,3.711970806,1.770951125,-0.507179573,1.696772456,48.96821022,84.77493634,87.40179033,27.73329735,0.365504235,-0.580183268,29.76706478,3.087558985,-1,304.3679829
42.23238754,-2.125059605,0,89.72582245,-1.731309295,1.018465161,262.0435104,19.3137722,3.172406135,0.472279429,3.137054801,22.3506012,157.1006475,166.7697916,2.653571749,-0.190101743,2.64675355,57.20672989,119.3474342,210.1653672,0.663089659,0.030273676,-0.662398219,57.44976044,67.27085555,168.2961952,67.37522125,-2.203588724,-2.11858964,309.0151423,10.29788971,0.824102017,-0.662381172,-0.490301251,34.85612869,41.60750051,232.7006155,2.52275547,-0.442005754,2.483732287,35.09915924,94.98793203,230.6905184,32.51909256,-1.541207552,-1.628288388,79.48546201,3.291184425,2.982187253,0.220375419,2.974033538,0.243030548,64.5678917,67.22786328,32.27606201,-1.761582971,1.68086338,96.76109369,2.751288891,-1,264.1285858
76.93173218,-1.065651298,0,130.9186096,1.471301556,2.582179785,300.8025353,20.54808235,0.938890893,0.836753964,0.425862551,78.01807404,85.58026964,249.3192722,2.72826091,0.481449902,2.685444765,56.27314758,200.6445422,271.8871,2.6782465,0.035980225,-2.678004805,82.53490448,175.5340228,247.2773405,52.90053558,0.634547591,2.156317234,64.79071123,10.62882328,2.287346226,-0.355304062,2.259582214,-21.74492645,115.7156415,126.3323053,3.20550014,-0.80077374,-3.103867356,4.516830444,101.2662587,117.7091243,74.64546204,0.989851654,-0.10326498,114.4482885,5.831306458,1.021937894,-0.445469677,0.919735737,26.2617569,59.45939909,60.18419972,48.38370514,1.435321331,-1.023000717,107.3911342,0.759916961,-1,383.7800446
61.18821716,-1.84542501,0,37.63513947,2.026864767,0.380712479,145.3497804,3.43148756,2.39720089,2.344565988,-0.499582261,0.800609589,18.42535792,153.3620103,2.107897482,1.247795343,-1.698893338,4.586307526,53.16400788,123.9041458,2.528324674,0.907200694,2.359960288,7.166479111,63.02782023,117.0637376,36.83452988,-0.317701221,0.88029474,39.28581229,6.706483841,1.625193191,-1.096770644,-1.199311078,3.785697937,39.56287296,56.49704848,3.200469118,-1.437365294,2.859542549,6.365869522,66.64104081,85.52388122,33.04883194,0.779069424,2.079605818,43.7049388,3.084332228,2.250256906,-0.340594649,-2.224331681,2.580171585,56.96502654,58.4904383,30.46866035,1.119664073,-1.979247808,51.71861791,2.708582401,-1,199.1753788
12.135952,2.34903264,1,108.8787918,0.651114404,-2.868672609,134.3209054,20.25222397,0.590663521,-0.243578911,0.538101021,45.04668808,63.19409199,64.13896513,1.490850784,0.695997022,-1.318417311,76.76135635,105.5448112,130.9135512,1.947283324,-0.60191983,1.851919238,85.51362991,117.5248625,123.6534405,63.83210373,0.894693315,2.876411676,91.77029214,10.81762505,2.080736228,0.939575933,-1.856518332,31.71466827,79.1310482,103.3518551,1.361810016,-0.358340919,1.313818216,40.46694183,62.14771519,67.95091513,32.11743546,-0.044882618,-1.550255299,32.58584206,5.313010693,3.372597745,-1.297916852,-3.112848759,8.75227356,55.47701,67.81666747,23.3651619,1.253034234,1.56259346,44.34613432,3.107808828,-1,240.3294449
95.99149323,2.201364517,2,65.86260223,0.014830261,-1.487854242,67.48257842,14.66498852,2.436715246,-0.819958241,2.294613187,17.00971603,104.8149099,113.9521864,1.980983761,0.049723688,1.980359618,39.62401962,80.01667123,80.039049,3.196688132,0.994821875,3.037950699,42.47240257,89.16013409,93.37824402,48.8528862,0.834788501,2.500717878,67.16864922,6.147306919,0.924717233,0.869681928,-0.314253569,22.61430359,25.23798616,52.99718421,1.961116398,1.814780116,0.743337512,25.46268654,35.37221667,80.63074455,26.23858261,-0.034893427,2.814971447,26.34431561,2.17282486,1.418347446,0.945098188,1.057591081,2.84838295,25.15790702,36.07547272,23.39019966,-0.979991615,1.757380366,35.64805681,2.640117168,-1,260.3357639
39.14531326,1.280817986,1,118.0765762,1.281414747,-2.002073526,229.4090556,13.15256405,0.964472373,0.945825428,-0.188735843,76.12900925,77.27571242,197.6389814,2.676736202,-0.309579253,-2.658773661,38.03617096,192.5867795,192.7510981,3.13667496,0.590046406,3.080677692,86.94559479,149.1618577,228.4024217,41.94756699,0.335589319,-1.813337684,44.61353051,5.00506115,2.770763024,-1.255404681,-2.470037818,-38.09283829,115.8574031,208.999863,3.034699163,-0.355779022,-3.013771772,10.81658554,72.93262476,73.47804429,80.04040527,1.590994,0.656700134,204.6047175,1.750337005,1.051176931,0.899625659,-0.543733954,48.90942383,55.77484644,174.1833195,31.13098145,0.691368341,1.200434089,38.96600528,2.701353788,-1,310.3408432
74.65319824,1.936892629,1,85.82019043,1.296453714,1.519722581,168.8164871,7.966609001,1.086104102,-1.073716879,-0.163567066,36.4886055,38.00570712,122.4881118,0.888205607,0.646498144,0.609056115,31.51408386,51.66414013,119.1099051,0.905867702,0.609997451,-0.66970098,61.55779076,68.47512798,144.4267782,49.33158493,2.370170593,1.683289647,266.2791952,6.067548275,1.885758814,1.720215023,0.772623181,-4.974521637,39.31897109,227.1928076,1.758142624,1.68371433,-0.506133914,25.06918526,30.4727194,245.503537,54.30610657,0.649955571,0.910666466,66.32835723,4.339686394,1.279277925,-0.036500692,-1.278757095,30.04370689,52.71745591,56.32736881,24.26239967,0.686456263,2.189423561,30.21787329,0.81338352,-1,288.3734798
13.13099003,0.950561106,1,41.79886627,-1.407795548,2.112441301,90.62318626,4.144567013,1.761368479,-1.258518413,1.232294738,1.586734772,47.4114566,88.11781543,2.232350655,-0.820913136,-2.075931374,-10.07171249,80.84634091,94.06341519,2.733863315,-0.969290614,2.556263745,-1.708374023,81.68025584,101.7088369,40.2121315,-0.149277136,0.880146563,41.05091248,5.644503593,3.006971997,0.437605277,2.974959195,-11.65844727,91.76841983,95.43378119,1.355192477,0.289227799,1.323969007,-3.295108795,51.52650037,53.30909578,51.87057877,-0.586882412,-2.094812632,61.32794127,5.695971966,1.657644255,-0.148377478,-1.650990188,8.36333847,70.32071797,71.42732312,43.5072403,-0.438504934,-0.443822443,47.86857967,3.257292271,-1,190.5198069
35.22955322,1.070717692,3,106.731926,-0.177912593,-1.136607051,110.0720247,18.96696281,2.321680753,2.010925412,1.160336375,28.61804962,104.1145607,341.3754427,0.561165348,-0.027254254,0.560503125,65.40099716,75.01510094,76.10585786,2.218396432,1.347320199,1.762387872,81.91028976,114.0910622,119.4134095,78.11387634,-2.188838005,-2.296943426,353.2943802,15.52749634,2.12461203,-2.038179666,-0.59983325,36.78294754,49.80152548,341.5999027,0.896012212,-0.663605213,0.602051497,53.29224014,59.34542982,295.8708527,41.3309288,-0.150658339,-1.697110176,42.31834558,6.597635746,1.825919459,1.374574453,1.201884747,16.5092926,39.80550671,62.4285944,24.8216362,-1.525232792,-2.898994923,59.94021484,4.858382225,-1,286.2279205
30.54523087,0.847731113,1,59.55348969,0.121968694,1.937138438,60.1855082,4.759657383,2.153970057,-1.057963781,-1.876246158,14.22673035,84.99795474,103.7563462,3.043041007,0.564122684,-2.990294997,-38.1285553,156.8123188,165.1757191,0.856948583,0.216383897,-0.829179645,22.19190216,44.00680521,45.31612059,45.32675934,1.179932475,-2.469800711,81.17420693,8.626005173,1.967808252,1.622086465,-1.114048839,-52.35528564,87.69758821,141.7752726,1.649336317,1.274347678,1.047066514,7.965171814,41.91108809,81.86099215,97.68204498,-0.44215399,-1.355751872,108.3844002,14.66969013,2.18891339,-0.347738788,2.161115352,60.32045746,122.4767185,129.1821211,37.36158752,-0.094415203,2.766318083,37.64804653,3.001149416,1,270.4691124
225.5309906,1.765711665,3,356.6500854,-0.578231812,-1.663588643,422.7627509,63.58749008,0.663244163,-0.657172054,-0.089541674,309.1725273,309.3918613,380.6024293,2.976121667,1.705110073,-2.439241648,309.6417351,393.7057092,393.839214,2.185509143,-0.288496792,-2.166384041,319.2110138,378.9228353,431.7351227,47.47755814,0.078940243,-1.574046969,48.53267013,9.339468002,3.331886375,2.362282127,-2.349699974,0.469207764,87.1759098,247.7609217,2.109311658,0.368675262,-2.076842368,10.03848648,73.34171277,74.81053739,47.00835037,-2.283341885,0.775653005,233.0433659,6.302762032,2.012192736,-1.993606865,0.272857606,9.569278717,14.89263594,217.6761828,37.43907166,-0.289735019,0.502795398,39.77278167,7.693772793,-1,714.1060562
