MET(GeV),#phi_{MET},light_jets_multiplicity,pT_{b_{1}}(GeV),#eta_{b_{1}},#phi_{b_{1}},Energy_{b_{1}}(GeV),Mass_{b_{1}}(GeV),#Delta R_{b_{1}b_{2}},#Delta #eta_{b_{1}b_{2}},#Delta #phi_{b_{1}b_{2}},#Delta pT_{b_{1}b_{2}}(GeV),#Delta #vec{pT}_{b_{1}b_{2}}(GeV),#Delta #vec{p}_{b_{1}b_{2}}(GeV),#Delta R_{b_{1}#tau_{1}},#Delta #eta_{b_{1}#tau_{1}},#Delta #phi_{b_{1}#tau_{1}},#Delta pT_{b_{1}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{1}#tau_{1}}(GeV),#Delta #vec{p}_{b_{1}#tau_{1}}(GeV),#Delta R_{b_{1}lep_{1}},#Delta #eta_{b_{1}lep_{1}},#Delta #phi_{b_{1}lep_{1}},#Delta pT_{b_{1}lep_{1}}(GeV),#Delta #vec{pT}_{b_{1}lep_{1}}(GeV),#Delta #vec{p}_{b_{1}lep_{1}}(GeV),pT_{b_{2}}(GeV),#eta_{b_{2}},#phi_{b_{2}},Energy_{b_{2}}(GeV),Mass_{b_{2}}(GeV),#Delta R_{b_{2}#tau_{1}},#Delta #eta_{b_{2}#tau_{1}},#Delta #phi_{b_{2}#tau_{1}},#Delta pT_{b_{2}#tau_{1}}(GeV),#Delta #vec{pT}_{b_{2}#tau_{1}}(GeV),#Delta #vec{p}_{b_{2}#tau_{1}}(GeV),#Delta R_{b_{2}lep_{1}},#Delta #eta_{b_{2}lep_{1}},#Delta #phi_{b_{2}lep_{1}},#Delta pT_{b_{2}lep_{1}}(GeV),#Delta #vec{pT}_{b_{2}lep_{1}}(GeV),#Delta #vec{p}_{b_{2}lep_{1}}(GeV),pT_{#tau_{1}}(GeV),#eta_{#tau_{1}},#phi_{#tau_{1}},Energy_{#tau_{1}}(GeV),Mass_{#tau_{1}}(GeV),#Delta R_{#tau_{1}lep_{1}},#Delta #eta_{#tau_{1}lep_{1}},#Delta #phi_{#tau_{1}lep_{1}},#Delta pT_{#tau_{1}lep_{1}}(GeV),#Delta #vec{pT}_{#tau_{1}lep_{1}}(GeV),#Delta #vec{p}_{#tau_{1}lep_{1}}(GeV),pT_{lep_{1}}(GeV),#eta_{lep_{1}},#phi_{lep_{1}},Energy_{lep_{1}}(GeV),Mass_{lep_{1}}(GeV),Q_{#tau_{1}}Q_{lep_{1}},sT(GeV)
108.0730057,-2.879581451,0,114.7197723,0.855724692,0.484336376,159.7898397,11.86301136,1.715632031,0.369222134,1.675430775,79.81292725,123.3515468,154.4430095,3.012277637,0.63587752,2.944397449,78.0287056,150.8711156,182.3760337,1.481207021,1.252117515,-0.791312814,79.62503815,93.44695654,155.9677052,34.90684509,0.486502558,-1.191094398,39.8310373,7.492851257,1.296680962,0.266655385,1.268966675,-1.784221649,42.46480446,43.52072577,2.619986295,0.88289538,-2.466743588,-0.187889099,66.05424913,73.37056593,36.69106674,0.219847172,-2.460061073,37.59456962,0.9974792,2.620950368,0.616239995,2.547475044,1.59633255,68.64328365,72.20879778,35.09473419,-0.396392822,1.27564919,37.88834323,0.105658376,-1,329.485424
60.21420288,1.583813548,0,109.639534,0.071768433,-1.81819427,111.8571226,20.71632957,1.051716427,-0.844789475,-0.62644887,73.79609299,83.29651374,88.45793018,2.612725989,-0.009309612,-2.612709403,79.8222084,136.2163454,136.3255381,2.863662852,-1.026970118,2.673181121,53.81747818,161.4281873,174.6140245,35.84344101,0.916557908,-1.1917454,52.63348684,8.249048233,2.15482192,0.835479863,-1.986260533,6.026115417,55.10495485,65.40383063,2.989112262,-0.182180643,-2.983555317,-19.97861481,91.39307571,98.52065859,29.81732559,0.081078045,0.794515133,30.37908275,5.28757906,1.424861323,-1.017660506,-0.997294784,-26.00473022,46.89323668,85.94182069,55.82205582,1.098738551,1.791809916,93.04621807,0.105658376,-1,291.3365593
37.74902725,-0.386256546,2,89.62887573,1.032043576,2.694369316,142.0724481,9.545977592,2.513833454,0.97733739,2.316067845,28.54869461,138.5261251,174.7183666,3.594167982,1.750607789,3.139015108,24.25844574,154.9991802,223.4417687,2.654524825,2.572027445,-0.656640593,39.62037659,58.59988168,228.7248674,61.08018112,0.054706186,0.378301471,61.79832913,8.778862953,1.129242803,0.773270398,0.822947264,-4.290248871,50.72786543,74.42872163,3.373430276,1.594690055,-2.972708438,11.07168198,110.696797,159.3438065,65.37042999,-0.718564212,-0.444645792,83.55877506,9.769389153,2.619643829,0.821419656,2.487529606,15.36193085,109.3752354,124.8244023,50.00849915,-1.539983869,-2.932175398,121.9932686,0.105658375,-1,303.8370132
16.7022171,-2.189180374,2,90.6971283,0.147391334,-1.075182915,94.16218009,21.46035004,2.888469935,-0.530470178,2.839341466,51.41930389,128.726508,129.6319673,3.430902542,1.872760668,2.87469298,-0.646865845,180.4225748,317.8762194,1.929311145,1.23590149,1.481482029,44.03902435,98.22443533,123.4900233,39.2778244,0.677861512,2.368660927,49.5799694,9.543970108,2.403490842,2.403230846,0.035351515,-52.06616974,52.10920587,281.8651797,2.227970179,1.766371667,-1.357859437,-7.380279541,54.26916484,105.2155171,91.34399414,-1.725369334,2.333309412,265.2125217,18.53212929,1.531870219,-0.636859179,-1.393210951,44.6858902,94.94699604,209.6047347,46.65810394,-1.088510156,-2.556664944,77.13900209,0.000511,-1,284.6792679
45.66778564,-1.273376703,0,73.69267273,-0.862108231,2.163220167,104.0576713,16.02255058,0.705889506,-0.295464039,0.641077995,19.63119888,44.35529578,59.32681405,2.707615154,-0.891411921,-2.55667061,31.90948486,110.9544966,132.7729913,3.045825678,0.31962204,-3.029009048,35.83094406,111.3959456,112.5095585,54.06147385,-0.566644192,1.522142172,63.70054753,9.584394455,3.14246297,-0.595947882,3.085436702,12.27828598,95.80750364,101.5033985,2.684513628,0.615086079,2.613098264,16.19974518,88.83331223,91.91686926,41.78318787,0.02930369,-1.56329453,41.86600886,2.329875708,1.299887247,1.211033961,-0.472338438,3.921459198,19.02132347,60.21561736,37.86172867,-1.18173027,-1.090956092,67.52180325,0.000511,-1,253.0668488
269.3860474,-0.131775945,0,330.7754211,1.598615766,2.938901186,851.9831092,29.41983604,0.584320195,-0.397338271,-0.428430144,252.3710938,261.4939546,565.5181711,3.054380212,0.543866754,-3.005569402,254.2090073,406.7671292,799.2626297,2.994150387,0.065165281,2.993441168,290.5303421,370.6272528,788.2585115,78.40432739,1.995954037,-2.915853977,293.9924079,9.940137863,2.743631472,0.941205025,-2.577139258,1.837913513,148.8406218,238.6769738,2.898452572,0.462503552,-2.861313995,38.15924835,117.6070788,227.0884311,76.56641388,1.054749012,-0.338714719,123.3708071,5.365065575,0.55669595,-0.478701472,-0.284174737,36.32133484,39.57790182,40.31599674,40.24507904,1.533450484,-0.054539982,97.59294706,0.105658376,-1,795.3772888
48.11938477,-2.136695623,0,46.44681931,0.504290819,0.072666913,52.83554082,6.127944946,2.153532562,1.55967629,-1.484962076,2.767227173,60.97018936,100.2467713,1.850775841,0.016001523,-1.850706667,14.87016106,62.96638415,63.52283581,2.380846648,1.013544917,2.154334575,16.47738838,67.7450045,78.85553319,43.67959213,-1.05538547,1.557628989,71.17262649,10.79598045,1.586411325,-1.543674767,-0.365744591,12.10293388,18.13657133,73.45871438,2.699704929,-0.546131372,-2.643888656,13.71016121,71.4601479,81.51332332,31.57665825,0.488289297,1.92337358,35.44338897,1.382811308,2.486972699,0.997543395,-2.278144066,1.607227325,55.90300958,64.39843761,29.96943092,-0.509254098,-2.081667662,33.94044265,0.105658376,-1,199.7918854
36.66861725,0.499848604,0,60.61552429,1.573667169,-2.008765459,152.7916085,9.495549202,2.086870116,-0.070529938,2.085677926,20.99526978,87.23105666,96.47303507,3.591865507,2.921728015,-2.089259014,35.4303894,76.29903152,200.2472397,4.055215205,3.424096107,2.172633473,35.20765495,77.86972216,232.2101341,39.62025452,1.644197106,2.188741922,106.7592083,8.981143951,3.660371407,2.992257953,2.108248368,14.43511963,56.79562742,154.7375505,3.49570772,3.494626045,0.086955547,14.21238518,14.47752638,178.1493804,25.18513489,-1.348060846,0.080493554,52.15453472,6.470299721,2.082786203,0.502368093,-2.021292821,-0.222734451,42.8613154,54.4755267,25.40786934,-1.850428939,2.101786375,82.82606921,0.000511001,-1,187.4974003
86.13014984,-1.217470646,1,89.78884888,1.433014274,2.095245123,199.1151726,9.717089653,1.41814789,-0.402123213,-1.359941308,37.97268295,93.80536655,95.76018642,2.33250159,0.231212139,2.321013704,38.22935486,130.511074,164.0896436,2.841571143,0.422772646,-2.809944812,34.25590515,143.4398621,181.563568,51.81616592,1.835137486,-2.827998877,166.5670454,5.547372818,2.678192708,0.633335352,-2.602230296,0.256671906,99.63926187,127.9124429,1.66822161,0.824895859,-1.450003505,-3.716777802,71.24147989,116.4075578,51.55949402,1.201802135,-0.225768581,93.50896064,1.502337337,1.168041954,0.191560507,1.152226791,-3.973449707,58.43569662,59.62550001,55.53294373,1.010241628,-1.377995372,86.36470895,0.000511001,-1,334.8276024
82.0546875,-0.435459733,0,123.9135437,2.214225531,2.898219585,574.0591492,11.69809723,1.043041291,0.866685987,0.580336571,71.45672226,85.05576632,473.9885075,2.69545188,0.354088068,-2.672093276,57.60542297,185.488956,398.3794544,2.501305188,-0.09681654,2.499430776,95.51406097,147.6390063,443.8810202,52.45682144,1.347539544,2.317883015,108.1358723,9.224315643,3.073798186,-0.512597919,3.03075546,-13.85129929,118.5850941,164.309152,2.147384382,-0.963502526,1.919094205,24.05733871,67.63981777,82.75931928,66.30812073,1.860137463,-0.712872446,218.1713865,1.946302772,1.199627322,-0.450904608,-1.111661255,37.908638,59.44918141,88.86131243,28.39948273,2.31104207,0.39878881,144.6113908,0.000510999,-1,353.1326561
